inst,experts,novices,effect_frac,rc
ASU,2,0,1.0,0
ATHENS,1,0,1.0,0
BONN,1,0,1.0,0
CMU,6,0,1.0,16
CUA,2,0,1.0,0
CUG,2,0,1.0,0
CWM,10,0,1.0,32
DUKE,2,0,1.0,0
FIU,1,0,1.0,0
FSU,10,0,1.0,0
GIESS,1,0,1.0,0
GLASGOW,3,0,1.0,0
GSI,0,0,1.0,0
GWU,5,0,1.0,8
IHEP,3,0,1.0,0
INDIANA,6,0,1.0,24
ITEP,3,0,1.0,0
JLAB,23,0,0.5,64
LAMAR,1,0,1.0,0
MEPHI,1,0,1.0,0
MTA,1,0,1.0,0
NCATS,1,0,1.0,0
NSU,0,0,1.0,0
ODU,4,0,1.0,8
REGINA,6,0,1.0,8
RUB,6,0,1.0,0
SMU,0,0,1.0,0
TEST,0,0,1.0,0
TSU,1,0,1.0,0
UCONN,1,0,1.0,0
UMASSA,4,0,1.0,0
UNCW,2,0,1.0,0
UNION,1,0,1.0,0
VTECH,2,0,1.0,0
WUHAN,2,0,1.0,0
YERE,2,0,1.0,0